SUBC1|OBJ1|develop an appreciation and love of reading, and read increasingly challenging material independently through
SUBC1|OBJ2|understand increasingly challenging texts through:
SUBC1|OBJ3|read critically through:
SUBC2|OBJ4|write accurately, fluently, effectively and at length for pleasure and information through
SUBC2|OBJ5|plan, draft, edit and proof-read through:
SUBC3|OBJ6|consolidate and build on their knowledge of grammar and vocabulary through
SUBC4|OBJ7|speak confidently and effectively, including through
